2023-12-24 13:36:29,30.4674233,-97.8378489,r, 08.73m,0000029461Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:31,30.4674233,-97.8378489,r, 08.65m,0000031866Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:33,30.4674233,-97.8378489,r, 09.78m,0000011172Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:35,30.4674233,-97.8378489,r, 09.55m,0000013931Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:37,30.4674233,-97.8378489,r, 09.03m,0000022430Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:39,30.4674233,-97.8378489,r, 08.56m,0000034680Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:41,30.4674233,-97.8378489,r, 00.00m,0000448486Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:43,30.4674233,-97.8378489,r, 00.00m,0000727199Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:45,30.4674233,-97.8378489,r, 00.00m,0000727149Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:47,30.4674233,-97.8378489,r, 00.00m,0000727107Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:49,30.4674233,-97.8378489,r, 00.00m,0000727101Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:51,30.4674233,-97.8378489,r, 00.00m,0000726606Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:53,30.4674233,-97.8378489,r, 00.00m,0000727200Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:55,30.4674233,-97.8378489,r, 00.00m,0000691319Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:57,30.4674233,-97.8378489,r, 00.00m,0000727176Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:36:59,30.4674233,-97.8378489,r, 00.00m,0000727156Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:37:01,30.4674233,-97.8378489,r, 00.00m,0000699995Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:37:03,30.4674233,-97.8378489,r, 00.00m,0000727174Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:37:05,30.4674233,-97.8378489,r, 00.00m,0000720418Hz,0000000000c,0000000.000s, 023.5C
2023-12-24 13:37:07,30.4674233,-97.8378489,r, 00.00m,0000727251Hz,0000000000c,0000000.000s, 023.5C
2023-12-24 13:37:09,30.4674233,-97.8378489,r, 00.00m,0000727246Hz,0000000000c,0000000.000s, 023.5C
2023-12-24 13:37:11,30.4674233,-97.8378489,r, 00.00m,0000727167Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:37:13,30.4674233,-97.8378489,r, 00.00m,0000722660Hz,0000000000c,0000000.000s, 023.2C
2023-12-24 13:37:15,30.4674233,-97.8378489,r, 00.00m,0000727133Hz,0000000000c,0000000.000s, 023.5C
